Date,Adj Close,Close,High,Low,Open,Volume
0,3.2594594955444336,3.799999952316284,3.9000000953674316,3.700000047683716,3.799999952316284,265500.0
1,3.2594594955444336,3.799999952316284,3.8499999046325684,3.700000047683716,3.75,215300.0
2,3.216571807861328,3.75,3.9000000953674316,3.700000047683716,3.9000000953674316,206100.0
3,3.216571807861328,3.75,3.8499999046325684,3.700000047683716,3.799999952316284,180400.0
4,3.30234694480896,3.8499999046325684,4.300000190734863,3.75,3.950000047683716,808100.0
5,3.473897695541382,4.050000190734863,4.199999809265137,3.799999952316284,3.8499999046325684,728900.0
6,3.4310100078582764,4.0,4.150000095367432,3.950000047683716,4.050000190734863,304100.0
7,3.5596730709075928,4.150000095367432,4.199999809265137,3.950000047683716,4.0,495300.0
8,3.516785144805908,4.099999904632568,4.150000095367432,3.950000047683716,4.150000095367432,285900.0
9,3.4310100078582764,4.0,4.150000095367432,3.950000047683716,4.099999904632568,314400.0
10,3.388122320175171,3.950000047683716,4.099999904632568,3.9000000953674316,4.0,233800.0
11,3.4310100078582764,4.0,4.050000190734863,3.9000000953674316,3.9000000953674316,231800.0
12,3.3452348709106445,3.9000000953674316,4.050000190734863,3.799999952316284,3.950000047683716,339100.0
13,3.2594594955444336,3.799999952316284,4.0,3.75,3.9000000953674316,320500.0
14,3.2594594955444336,3.799999952316284,3.8499999046325684,3.700000047683716,3.75,170700.0
15,3.2594594955444336,3.799999952316284,3.9000000953674316,3.7300000190734863,3.75,198000.0
16,3.216571807861328,3.75,3.799999952316284,3.700000047683716,3.799999952316284,98000.0
17,3.3452348709106445,3.9000000953674316,3.9000000953674316,3.6500000953674316,3.75,186300.0
18,3.0450212955474854,3.549999952316284,3.8499999046325684,3.5,3.799999952316284,592300.0
19,3.087908983230591,3.5999999046325684,3.700000047683716,3.549999952316284,3.549999952316284,194600.0
20,2.9592461585998535,3.450000047683716,3.6500000953674316,3.4000000953674316,3.5999999046325684,291600.0
21,2.9592461585998535,3.450000047683716,3.5999999046325684,3.3499999046325684,3.5,236600.0
22,2.830583333969116,3.299999952316284,3.4800000190734863,3.299999952316284,3.4000000953674316,231500.0
23,2.830583333969116,3.299999952316284,3.450000047683716,3.299999952316284,3.299999952316284,181400.0
24,2.916358470916748,3.4000000953674316,3.4000000953674316,3.200000047683716,3.25,351300.0
25,2.9592461585998535,3.450000047683716,3.549999952316284,3.3499999046325684,3.4000000953674316,181600.0
26,2.8734707832336426,3.3499999046325684,3.549999952316284,3.299999952316284,3.450000047683716,221100.0
27,2.7448079586029053,3.200000047683716,3.4000000953674316,3.049999952316284,3.4000000953674316,266700.0
